ID,Churn
ID06207,0
ID01243,0
ID00206,1
ID00127,0
ID03521,0
ID04423,1
ID03425,0
ID02138,0
ID02565,0
ID04587,0
ID02762,0
ID05689,0
ID01904,1
ID02344,0
ID05280,0
ID00859,0
ID06959,0
ID02800,0
ID01145,0
ID06628,0
ID01707,0
ID06714,0
ID01068,0
ID04162,0
ID05878,0
ID04219,0
ID05503,0
ID00436,0
ID06522,0
ID03700,1
ID04427,0
ID07041,0
ID03725,1
ID03463,0
ID06483,0
ID03025,0
ID06758,0
ID05386,0
ID06292,0
ID03951,1
ID00011,0
ID01124,0
ID07042,0
ID00203,0
ID04589,0
ID01576,0
ID06658,0
ID07014,0
ID06928,0
ID01810,1
ID04631,0
ID00006,0
ID06877,1
ID02603,0
ID01633,0
ID01835,1
ID05485,0
ID04951,0
ID03228,1
ID00514,0
ID02445,0
ID04238,0
ID03367,0
ID01426,0
ID04858,0
ID02861,0
ID00587,0
ID06519,0
ID02867,0
ID03127,0
ID01005,0
ID03307,1
ID05676,0
ID06163,1
ID01154,0
ID02354,0
ID05429,0
ID04328,0
ID01502,0
ID00032,1
ID06365,0
ID01553,0
ID04354,0
ID03814,1
ID05640,1
ID04475,1
ID01769,0
ID06249,0
ID02823,1
ID03848,1
ID01783,1
ID06080,0
ID06223,0
ID06964,0
ID06069,0
ID06817,0
ID03687,1
ID01019,0
ID00919,0
ID05880,0
ID04051,1
ID02098,0
ID01618,0
ID03845,0
ID03420,0
ID04274,1
ID02405,0
ID02558,0
ID03039,0
ID05320,0
ID05251,0
ID06109,0
ID05681,0
ID06998,0
ID01413,0
ID06262,0
ID04038,1
ID03596,1
ID04529,1
ID05165,1
ID06720,0
ID00835,0
ID02864,0
ID00196,1
ID00136,0
ID00723,0
ID06303,0
ID00191,0
ID02211,0
ID04125,1
ID05000,0
ID06884,0
ID01772,0
ID05289,1
ID06087,0
ID03774,0
ID05996,1
ID04510,1
ID06473,0
ID04343,0
ID01695,0
ID00319,0
ID06103,1
ID05634,0
ID00391,1
ID05476,0
ID06442,0
ID00603,0
ID00179,1
ID00573,0
ID03990,0
ID01768,1
ID01345,0
ID01229,0
ID02736,0
ID01357,1
ID01471,0
ID05870,0
ID00533,0
ID03932,1
ID02420,0
ID02367,0
ID03212,0
ID01191,0
ID00354,0
ID03942,1
ID06318,0
ID05283,1
ID05823,1
ID04688,1
ID05981,1
ID01144,0
ID02999,0
ID00875,0
ID05554,1
ID00802,0
ID01104,0
ID05141,1
ID00989,0
ID00459,0
ID02716,0
ID01675,0
ID00732,0
ID04974,0
ID03908,1
ID03498,1
ID04689,0
ID06832,0
ID06093,1
ID03021,0
ID02693,0
ID04950,1
ID04805,0
ID00985,0
ID00660,0
ID04359,1
ID00609,0
ID02087,0
ID06601,0
ID06170,0
ID04692,1
ID02316,0
ID01136,0
ID04875,0
ID01549,0
ID03690,1
ID05498,0
ID01189,0
ID02048,0
ID00038,0
ID05636,0
ID03226,1
ID02930,0
ID04512,0
ID04839,1
ID03087,1
ID03014,0
ID06736,0
ID04482,1
ID04244,0
ID05095,1
ID04197,1
ID03480,1
ID00376,0
ID00549,0
ID06965,0
ID06387,0
ID01006,0
ID01615,1
ID04521,0
ID02593,0
ID06307,0
ID06441,0
ID05294,0
ID06765,0
ID01029,0
ID06608,0
ID03112,1
ID00541,0
ID03767,1
ID05153,0
ID02260,0
ID00886,0
ID06148,0
ID06119,0
ID06149,0
ID00172,0
ID06977,0
ID06425,0
ID00486,0
ID05140,0
ID05473,1
ID03392,1
ID04379,0
ID06006,0
ID06813,0
ID04567,0
ID00270,0
ID00965,0
ID01713,1
ID05537,0
ID05169,0
ID01774,0
ID06351,0
ID02527,0
ID02366,0
ID05385,0
ID06880,0
ID00290,1
ID02375,0
ID00925,0
ID04901,1
ID00629,0
ID01938,0
ID04012,0
ID03236,0
ID02540,0
ID06957,0
ID04209,0
ID05220,0
ID03284,0
ID00215,0
ID03976,1
ID01750,0
ID04341,0
ID05987,0
ID06888,0
ID05813,0
ID02019,0
ID02289,1
ID01429,0
ID07043,0
ID01158,0
ID02332,0
ID03015,0
ID05321,0
ID06738,0
ID02939,0
ID06265,0
ID05325,0
ID03587,1
ID05566,0
ID05620,0
ID00551,0
ID02744,0
ID05374,0
ID02832,0
ID02047,0
ID04045,1
ID06620,0
ID00854,0
ID05268,0
ID01146,1
ID04998,0
ID01173,0
ID05063,1
ID02297,0
ID04821,0
ID02241,0
ID05662,0
ID02955,0
ID04755,0
ID00188,1
ID00318,0
ID04855,1
ID00560,0
ID00532,1
ID01787,1
ID05417,0
ID06783,1
ID06644,1
ID00286,0
ID04657,0
ID01428,0
ID00675,0
ID05669,0
ID06826,0
ID04555,1
ID04146,1
ID00108,0
ID00103,0
ID00168,0
ID05930,0
ID03459,1
ID00333,0
ID05187,0
ID03746,0
ID00765,0
ID01178,1
ID01614,1
ID01223,0
ID06134,1
ID02822,0
ID05794,1
ID04349,0
ID00396,0
ID03546,0
ID04158,1
ID02004,0
ID00836,0
ID05354,0
ID06378,0
ID02464,0
ID02014,1
ID01481,0
ID03214,0
ID05574,1
ID02145,0
ID00710,0
ID01064,0
ID06286,0
ID05526,0
ID02960,1
ID06364,0
ID04605,0
ID04295,0
ID01161,0
ID04686,0
ID04911,0
ID01550,1
ID06696,0
ID04922,0
ID05677,1
ID03732,1
ID00083,0
ID04447,0
ID06960,0
ID04903,1
ID00443,0
ID01932,0
ID02362,0
ID04949,0
ID04970,0
ID01466,0
ID01512,1
ID03238,0
ID04890,0
ID00666,0
ID06479,0
ID06754,0
ID04862,0
ID04507,0
ID03350,1
ID03157,0
ID05448,1
ID00386,1
ID05249,0
ID04768,0
ID02674,0
ID00858,0
ID05564,0
ID00627,0
ID02394,0
ID02718,0
ID04958,0
ID03170,1
ID06169,0
ID04393,1
ID04831,1
ID06656,0
ID03315,0
ID05828,1
ID01207,0
ID01845,0
ID05948,0
ID07016,0
ID04435,0
ID04067,1
ID04671,1
ID02197,0
ID01582,0
ID00382,0
ID02572,0
ID04782,1
ID03784,0
ID01568,1
ID03478,1
ID05221,0
ID03221,0
ID02228,0
ID04506,0
ID06946,0
ID03390,0
ID00559,0
ID04176,1
ID05347,0
ID05528,0
ID06898,0
ID03614,1
ID01025,0
ID01975,1
ID01564,0
ID02546,0
ID01452,0
ID03589,0
ID02953,0
ID00243,0
ID01148,0
ID01724,1
ID04467,1
ID04452,0
ID03661,0
ID02992,0
ID01877,0
ID04174,0
ID03101,1
ID03617,1
ID01430,0
ID03818,0
ID02080,0
ID04292,0
ID05946,0
ID01329,0
ID01943,0
ID01516,0
ID06492,0
ID02661,0
ID02700,0
ID01305,0
ID05493,1
ID01063,0
ID03677,1
ID06791,1
ID05755,0
ID01037,0
ID05968,0
ID05037,0
ID02600,0
ID01469,0
ID01691,0
ID07029,0
ID05389,1
ID02042,1
ID05134,0
ID03385,0
ID04410,0
ID05992,0
ID06550,0
ID00447,0
ID01822,1
ID00912,0
ID02441,0
ID03943,1
ID02249,0
ID02180,0
ID05804,0
ID00692,0
ID06091,0
ID01079,0
ID05122,0
ID05993,0
ID02035,1
ID00468,0
ID04635,1
ID01020,0
ID02704,0
ID06940,0
ID00565,0
ID05488,0
ID00469,0
ID02703,0
ID05806,1
ID02331,0
ID01309,0
ID05752,1
ID00529,0
ID04916,0
ID03613,1
ID00623,0
ID06212,0
ID03274,1
ID04428,1
ID04152,0
ID06673,0
ID05194,0
ID06642,0
ID00630,0
ID00211,1
ID05259,1
ID03188,0
ID03292,1
ID00245,0
ID02806,0
ID01121,0
ID03399,1
ID04137,1
ID04560,0
ID03703,1
ID00678,0
ID00827,0
ID02773,0
ID06222,0
ID06456,0
ID01577,0
ID03469,1
ID00272,0
ID03119,0
ID03072,1
ID03034,0
ID02479,0
ID02847,0
ID01766,0
ID02810,0
ID02701,0
ID01334,0
ID03761,0
ID01703,1
ID02830,0
ID02278,0
ID02001,0
ID02583,0
ID00482,0
ID04327,1
ID00917,0
ID00621,0
ID05333,0
ID06711,1
